_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
668e84b69b66a9bab0757f4d,,99.44,100,99.44,81.59,74;0;0;0,quote,4309,0,13,8.93,0,18.59,false,false,english,none,master,false,false,false,,1720616118000
668e84849b66a9bab0757d0d,,93.9,100,93.9,68.53,95;0;0;0,quote,5264,0,3,12.14,0,4.45,false,false,english,none,master,false,false,false,,1720616068000
668e846a9b66a9bab0757bdb,,108.98,100,108.98,88.07,80;0;0;0,quote,248,0,0,8.81,0,0,false,false,english,none,master,false,false,false,,1720616042000
668e845d9b66a9bab0757b36,,114.98,100,114.98,82.11,86;0;0;0,quote,6541,0,7,8.98,0,18.49,false,false,english,none,master,false,false,false,,1720616029000
668e842d9b66a9bab07578eb,,100.51,100,100.51,88.08,89;0;0;0,quote,2362,0,5,10.63,0,8.39,false,false,english,none,master,false,false,false,,1720615981000
668e840b9b66a9bab0757772,,116.27,100,116.27,84.72,67;0;0;0,quote,6,0,5,6.91,0,15.76,false,false,english,none,master,false,false,false,,1720615947000
668e83e39b66a9bab07575d2,,112.99,100,112.99,77.6,69;0;0;0,quote,408,0,0,7.33,0,0,false,false,english,none,master,false,false,false,,1720615907000
668e83d99b66a9bab0757566,,95.3,100,95.3,76.35,100;0;0;0,quote,263,0,2,12.59,0,7.49,false,false,english,none,master,false,false,false,,1720615897000
668e83bc9b66a9bab0757429,,108.12,100,108.12,84.73,60;0;0;0,quote,6314,0,2,6.66,0,3.36,false,false,english,none,master,false,false,false,,1720615868000
668e83a99b66a9bab0757368,,96.94,100,96.94,80.32,54;0;0;0,quote,5452,0,6,6.68,0,10.77,false,false,english,none,master,false,false,false,,1720615849000
668e83599b66a9bab0756ff2,,103.82,100,103.82,83.4,100;0;0;0,quote,6618,0,2,11.56,0,4.37,false,false,english,none,normal,false,false,false,,1720615769000
668e83389b66a9bab0756e47,,90.55,100,90.55,76.78,58;0;0;0,quote,1471,0,298,7.69,0,1220.91,false,false,english,none,master,false,false,false,,1720615736000
668be8428fe0103e5f7c8d73,,95.19,88.81,101.58,67.43,238;6;1;0,time,30,-1,2,30,0,4.93,false,false,english,none,normal,false,false,false,,1720444994000
668be81c8fe0103e5f7c8bb2,,98.39,95.42,98.39,71.05,246;0;0;0,time,30,-1,3,30,0,5.27,false,false,english,none,normal,false,false,false,,1720444956000
668be7f68fe0103e5f7c89e7,,110.39,95.88,111.59,77.87,276;0;0;1,time,30,-1,6,30,0,16.69,false,false,english,none,normal,false,false,false,,1720444918000
668be6738fe0103e5f7c78eb,,83.59,100,83.59,69.5,113;0;0;0,quote,2147,1,42,16.22,0,199.42,false,false,english,none,master,false,false,false,,1720444531000
668be2558fe0103e5f7c4924,,86.65,100,86.65,79.24,173;0;0;0,quote,817,1,115,23.96,0,507.26,false,false,english,none,master,false,false,false,,1720443477000
668bdf498fe0103e5f7c2878,,84.47,100,84.47,76.46,125;0;0;0,quote,4322,1,14,17.76,0,83.05,false,false,english,none,master,false,false,false,,1720442697000
668bde968fe0103e5f7c2138,,102.39,96.97,102.39,79.59,256;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720442518000
668bde768fe0103e5f7c2009,,92.79,94.8,92.79,65.74,232;0;0;0,time,30,-1,4,30,0,11.71,false,false,english,none,normal,false,false,false,,1720442486000
668bde488fe0103e5f7c1e26,,105.58,96.35,106.38,74.92,264;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720442440000
668bde288fe0103e5f7c1cfd,,103.59,95.26,103.59,70.93,259;0;0;0,time,30,-1,1,30,0,0.64,false,false,english,none,normal,false,false,false,,1720442408000
668b31478fe0103e5f76946c,,90.39,96.31,90.39,66.9,226;0;0;0,time,30,-1,1,30,0,2.95,false,false,english,none,normal,false,false,false,,1720398151000
668b31238fe0103e5f7693ab,,93.19,96.75,93.19,74.34,233;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720398115000
668b30fe8fe0103e5f7692df,,105.59,98.88,105.59,74.65,264;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720398078000
668a99628fe0103e5f7216c8,,94.79,94.92,95.99,70.4,237;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720359266000
668a95e88fe0103e5f71f816,,94.79,93.85,95.99,68.57,237;1;0;0,time,30,-1,1,30,0,4.43,false,false,english,none,normal,false,false,false,,1720358376000
6689e57b8fe0103e5f6d4822,,87.99,95.69,87.99,68.17,220;0;0;0,time,30,-1,1,30,0,0.86,false,false,english,none,normal,false,false,false,,1720313211000
6689de358fe0103e5f6d2969,,87.59,97.83,89.99,72.78,219;0;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720311349000
6689de158fe0103e5f6d28e6,,90.39,96.58,90.39,77.7,226;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720311317000
6689ddf58fe0103e5f6d2859,,93.99,97.51,93.99,75.42,235;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720311285000
6689ddd68fe0103e5f6d27c0,,107.19,100,107.19,82.43,268;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720311254000
6689dcc88fe0103e5f6d230f,,54.79,95.33,57.99,17.51,137;1;0;0,time,30,-1,0,30,11,0,false,false,english,none,normal,false,false,false,,1720310984000
6689dca48fe0103e5f6d2269,,88.79,98.29,91.99,74.06,222;0;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720310948000
6689dc848fe0103e5f6d21e4,,83.99,95.96,83.99,65.33,210;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720310916000
6689dc648fe0103e5f6d2164,,81.6,93.67,81.6,65.76,204;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720310884000
66896a6b8fe0103e5f6a41f0,,107.59,97.11,107.59,78.22,269;0;0;0,time,30,-1,3,30,0,7.23,false,false,english,none,normal,false,false,false,,1720281707000
66881ddd8fe0103e5f60fd34,,109.58,98.92,109.58,80.09,274;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720196573000
66881dbe8fe0103e5f60fc0b,,101.19,95.11,101.19,71.51,253;0;0;0,time,30,-1,1,30,0,11.17,false,false,english,none,normal,false,false,false,,1720196542000
6688173e8fe0103e5f60bda8,,101.98,95.19,101.98,75.49,255;0;0;0,time,30,-1,1,30.01,0,1.11,false,false,english,none,normal,false,false,false,,1720194878000
6688171d8fe0103e5f60bc5c,,87.59,92.34,91.19,63.86,219;2;0;0,time,30,-1,1,30,0,0.39,false,false,english,none,normal,false,false,false,,1720194845000
668816fc8fe0103e5f60bb31,,106.39,98.53,106.39,75.02,266;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720194812000
668816bf8fe0103e5f60b8c0,,93.99,95.93,93.99,71.42,235;0;0;0,time,30,-1,3,30,0,15.02,false,false,english,none,normal,false,false,false,,1720194751000
668816878fe0103e5f60b67d,,91.99,94.33,91.99,60.15,230;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720194695000
6687fffe8fe0103e5f5fc5a7,,99.59,96.89,99.59,77.51,249;0;0;0,time,30,-1,1,30,0,3.59,false,false,english,none,normal,false,false,false,,1720188926000
6687ffd88fe0103e5f5fc3b6,,96.78,95.65,97.18,76.95,242;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1720188888000
6687fb548fe0103e5f5f8f7f,,89.99,94.69,92.79,75.49,225;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720187732000
6687fb358fe0103e5f5f8e3c,,94.38,94.47,95.98,71.83,236;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1720187701000
6687ebf78fe0103e5f5ef213,,85.59,95.98,85.59,71.97,214;0;0;0,time,30,-1,2,30,0,9.05,false,false,english,none,normal,false,false,false,,1720183799000
6687ebcd8fe0103e5f5ef06d,,94.39,93.44,97.19,70.47,236;2;0;1,time,30,-1,3,30,0,6.88,false,false,english,none,normal,false,false,false,,1720183757000
6687e7f38fe0103e5f5ecac0,,99.19,95.52,101.19,70.97,248;0;0;1,time,30,-1,1,30,0,0.04,false,false,english,none,normal,false,false,false,,1720182771000
6687df618fe0103e5f5e7953,,94.78,97.19,97.18,77.32,237;0;0;1,time,30,-1,1,30.01,0,13.86,false,false,english,none,normal,false,false,false,,1720180577000
6687df308fe0103e5f5e779b,,101.98,99.22,101.98,79.63,255;0;0;0,time,30,-1,4,30.01,0,45.14,false,false,english,none,normal,false,false,false,,1720180528000
6687dee08fe0103e5f5e74bb,,97.18,91.61,102.78,69.59,243;5;0;3,time,30,-1,2,30.01,0,14.5,false,false,english,none,normal,false,false,false,,1720180448000
